,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,Suoyarvi,62.08,32.35,44.74,90,100,10.87,RU,2020-10-29 05:35:35
43,Lompoc,34.64,-120.46,55.0,52,1,5.44,US,2020-10-29 05:34:53
44,Kapaa,22.08,-159.32,73.4,88,90,5.82,US,2020-10-29 05:35:35
45,Pimentel,-6.84,-79.93,61.75,89,96,12.8,PE,2020-10-29 05:35:35
46,Kupang,-10.17,123.58,88.84,58,4,5.01,ID,2020-10-29 05:35:35
47,Berlevag,70.86,29.09,30.2,86,75,12.75,NO,2020-10-29 05:35:36
48,Muroto,33.28,134.15,73.4,40,20,10.29,JP,2020-10-29 05:35:36
49,Maningrida,-12.07,134.27,90.7,47,4,11.92,AU,2020-10-29 05:35:36
50,Aste,45.79,11.1,48.0,84,98,1.01,IT,2020-10-29 05:35:36
51,Hilo,19.73,-155.09,80.6,74,90,1.88,US,2020-10-29 05:35:36
52,Tres Barras,-26.11,-50.32,54.66,72,13,1.23,BR,2020-10-29 05:35:36
53,Butaritari,3.07,172.79,81.77,73,72,2.89,KI,2020-10-29 05:35:36
54,Nikolskoye,59.7,30.79,48.2,87,40,4.47,RU,2020-10-29 05:35:36
55,Sola,-13.88,167.55,80.47,79,10,20.18,VU,2020-10-29 05:35:36
56,Urumqi,43.8,87.6,44.6,39,0,8.95,CN,2020-10-29 05:35:37
57,Inhambane,-23.86,35.38,78.8,69,75,11.41,MZ,2020-10-29 05:35:37
58,Khatanga,71.97,102.5,1.53,88,0,10.51,RU,2020-10-29 05:35:37
59,Kamenka,51.32,42.77,37.67,72,0,12.24,RU,2020-10-29 05:35:37
60,Wuxue,29.85,115.55,71.71,55,32,3.62,CN,2020-10-29 05:35:37
61,Antibes,43.56,7.13,53.6,81,75,11.41,FR,2020-10-29 05:35:37
62,Nanlong,31.35,106.06,64.06,68,77,5.12,CN,2020-10-29 05:35:37
63,San Andres,12.58,-81.7,82.4,83,40,8.05,CO,2020-10-29 05:35:37
64,Chuy,-33.7,-53.46,54.1,74,58,12.15,UY,2020-10-29 05:35:37
65,San Cristobal,7.77,-72.22,66.6,85,95,1.88,VE,2020-10-29 05:35:37
66,Nogales,31.31,-110.94,48.2,31,1,4.7,MX,2020-10-29 05:35:38
67,Bonavista,48.65,-53.11,28.0,79,93,5.82,CA,2020-10-29 05:35:38
68,Burriana,39.89,-0.09,55.0,73,0,4.25,ES,2020-10-29 05:35:38
69,Riverton,40.52,-111.94,39.0,69,1,5.82,US,2020-10-29 05:35:22
70,Bredasdorp,-34.53,20.04,60.8,72,93,17.22,ZA,2020-10-29 05:35:38
71,Nizwa,22.93,57.53,83.59,14,0,2.62,OM,2020-10-29 05:35:38
72,Termiz,37.22,67.28,48.2,29,0,2.24,UZ,2020-10-29 05:32:23
73,Uinskoye,56.88,56.58,32.31,91,55,12.75,RU,2020-10-29 05:35:38
74,Mgandu,-5.95,34.13,72.3,48,56,14.83,TZ,2020-10-29 05:35:38
75,Provideniya,64.38,-173.3,24.8,62,40,4.47,RU,2020-10-29 05:35:38
76,Muhos,64.81,25.99,46.4,87,90,8.05,FI,2020-10-29 05:35:39
77,Clyde River,70.47,-68.59,19.4,92,90,20.8,CA,2020-10-29 05:35:39
78,Nan,18.83,100.67,71.22,91,99,1.59,TH,2020-10-29 05:35:39
79,Longyearbyen,78.22,15.64,24.8,62,75,17.22,SJ,2020-10-29 05:35:39
80,Abu Kamal,34.45,40.92,79.23,16,48,5.48,SY,2020-10-29 05:35:39
81,Buraydah,26.33,43.98,64.4,36,0,5.28,SA,2020-10-29 05:31:35
82,Atar,20.52,-13.05,75.54,26,36,8.46,MR,2020-10-29 05:35:39
83,Man,7.41,-7.55,69.31,92,61,1.99,CI,2020-10-29 05:35:39
84,Ancud,-41.87,-73.82,41.0,93,17,3.36,CL,2020-10-29 05:35:24
85,Olafsvik,64.89,-23.71,43.29,69,90,31.43,IS,2020-10-29 05:35:39
86,Daraitan,14.6,121.43,86.0,79,75,8.05,PH,2020-10-29 05:35:39
87,Coronel Bogado,-27.18,-56.3,67.15,69,69,9.82,PY,2020-10-29 05:35:39
88,Avarua,-21.21,-159.78,73.4,83,29,4.7,CK,2020-10-29 05:35:31
89,Kabac,11.24,123.7,84.43,75,17,11.88,PH,2020-10-29 05:35:40
90,Jasper,37.2,-94.35,44.6,93,90,14.99,US,2020-10-29 05:35:40
91,Tuatapere,-46.13,167.68,63.0,70,22,1.99,NZ,2020-10-29 05:35:40
92,Moose Factory,51.26,-80.61,21.2,73,75,10.29,CA,2020-10-29 05:35:40
93,Kodiak,57.79,-152.41,39.2,64,90,6.93,US,2020-10-29 05:34:29
94,Nanortalik,60.14,-45.24,31.66,96,100,5.55,GL,2020-10-29 05:35:40
95,Terre Haute,39.47,-87.41,48.99,99,100,1.99,US,2020-10-29 05:35:40
96,Tazmalt,36.39,4.4,55.4,82,0,10.29,DZ,2020-10-29 05:35:40
97,Ambilobe,-13.2,49.05,90.48,33,0,7.72,MG,2020-10-29 05:35:40
98,Vostok,46.49,135.88,29.19,100,100,11.56,RU,2020-10-29 05:35:40
99,Charlestown,-32.95,151.67,69.01,80,19,1.01,AU,2020-10-29 05:35:41
100,Agidel,55.91,53.94,33.98,85,4,11.81,RU,2020-10-29 05:35:41
101,Martapura,-3.42,114.85,91.13,55,77,3.58,ID,2020-10-29 05:35:41
102,Pangkalanbuun,-2.68,111.62,87.01,73,43,3.13,ID,2020-10-29 05:35:41
103,Hatillo,18.49,-66.83,75.0,96,13,13.56,PR,2020-10-29 05:35:41
104,Santa Rosa,14.31,121.11,86.0,79,75,8.05,PH,2020-10-29 05:35:41
105,Thompson,55.74,-97.86,-0.4,84,5,4.09,CA,2020-10-29 05:35:41
106,San Patricio,28.02,-97.52,51.01,76,1,4.7,US,2020-10-29 05:35:41
107,Kutum,14.2,24.67,74.91,24,0,14.25,SD,2020-10-29 05:35:41
108,Livingston,55.9,-3.52,46.0,93,20,12.75,GB,2020-10-29 05:35:42
109,Padang,-0.95,100.35,85.51,62,99,5.66,ID,2020-10-29 05:35:42
110,Esqueda,30.72,-109.58,42.58,55,0,2.95,MX,2020-10-29 05:35:42
111,Airai,-8.93,125.41,73.13,72,37,3.38,TL,2020-10-29 05:35:42
112,Udachnyy,66.42,112.4,-4.25,88,0,1.92,RU,2020-10-29 05:35:42
113,Ternate,0.8,127.4,82.06,76,100,8.43,ID,2020-10-29 05:35:42
114,Maua,-23.67,-46.46,72.0,56,0,2.24,BR,2020-10-29 05:35:42
115,Arraial Do Cabo,-22.97,-42.03,73.4,100,0,3.36,BR,2020-10-29 05:35:42
116,Hithadhoo,-0.6,73.08,83.68,73,0,10.8,MV,2020-10-29 05:31:31
117,Vigrestad,58.57,5.7,44.01,97,85,3.0,NO,2020-10-29 05:35:42
118,Carauari,-4.88,-66.9,75.38,91,87,1.28,BR,2020-10-29 05:35:42
119,Svetlyy,54.67,20.13,48.2,100,75,6.71,RU,2020-10-29 05:35:42
120,Shimizu,43.01,142.88,53.6,66,40,8.05,JP,2020-10-29 05:35:42
121,Vestmanna,62.16,-7.17,46.4,100,52,14.99,FO,2020-10-29 05:35:43
122,Tuktoyaktuk,69.45,-133.04,19.4,92,90,23.04,CA,2020-10-29 05:35:43
123,Sitka,57.05,-135.33,39.2,93,40,5.82,US,2020-10-29 05:35:43
124,Husavik,66.04,-17.34,41.0,75,20,9.17,IS,2020-10-29 05:35:43
125,Kuching,1.55,110.33,87.8,74,20,5.82,MY,2020-10-29 05:35:43
126,Nha Trang,12.25,109.18,86.0,66,40,8.05,VN,2020-10-29 05:35:43
127,Palkino,57.54,28.01,50.0,93,75,2.24,RU,2020-10-29 05:35:43
128,Kavieng,-2.57,150.8,84.72,69,35,7.34,PG,2020-10-29 05:35:43
129,Atuona,-9.8,-139.03,78.01,74,7,15.23,PF,2020-10-29 05:35:43
130,Okhotsk,59.38,143.3,29.23,95,99,7.83,RU,2020-10-29 05:35:43
131,Katsuura,35.13,140.3,75.99,37,20,6.93,JP,2020-10-29 05:35:43
132,George,-33.96,22.46,59.0,100,20,6.93,ZA,2020-10-29 05:35:43
133,Tomatlan,19.93,-105.25,73.54,94,1,2.66,MX,2020-10-29 05:35:43
134,Kruisfontein,-34.0,24.73,63.0,92,100,1.01,ZA,2020-10-29 05:35:44
135,Raudeberg,61.99,5.14,46.0,94,100,8.01,NO,2020-10-29 05:35:44
136,Steamboat Springs,40.48,-106.83,30.2,100,1,1.83,US,2020-10-29 05:35:44
137,Castro,-24.79,-50.01,59.4,48,16,1.23,BR,2020-10-29 05:35:44
138,Moerai,-22.43,-151.33,75.65,86,98,12.82,PF,2020-10-29 05:35:44
139,Bethel,41.37,-73.41,48.0,93,1,2.01,US,2020-10-29 05:35:44
140,Nome,64.5,-165.41,26.6,73,1,6.93,US,2020-10-29 05:32:30
141,Wijchen,51.8,5.72,46.99,87,40,10.29,NL,2020-10-29 05:35:44
142,Chivilcoy,-34.9,-60.02,51.01,89,6,4.0,AR,2020-10-29 05:35:44
143,Aljezur,37.32,-8.8,60.71,87,0,5.97,PT,2020-10-29 05:35:44
144,Klaksvik,62.23,-6.59,46.4,100,55,14.99,FO,2020-10-29 05:35:44
145,Sorland,67.67,12.69,37.4,93,20,2.24,NO,2020-10-29 05:35:44
146,Otradnoye,59.78,30.82,48.2,87,40,4.47,RU,2020-10-29 05:35:44
147,Yellowknife,62.46,-114.35,17.6,92,75,12.75,CA,2020-10-29 05:31:37
148,Honiara,-9.43,159.95,84.2,79,90,5.82,SB,2020-10-29 05:35:45
149,Fairbanks,64.84,-147.72,19.99,92,90,0.63,US,2020-10-29 05:34:09
150,Puerto Escondido,15.85,-97.07,78.94,82,60,4.41,MX,2020-10-29 05:35:45
151,Salalah,17.02,54.09,86.0,58,20,2.24,OM,2020-10-29 05:30:52
152,East London,-33.02,27.91,66.2,93,75,12.75,ZA,2020-10-29 05:33:53
153,Heinola,61.21,26.04,48.2,93,90,6.93,FI,2020-10-29 05:35:45
154,Yaan,7.38,8.57,73.53,93,82,5.01,NG,2020-10-29 05:35:45
155,Vilyuysk,63.76,121.62,3.74,91,52,2.37,RU,2020-10-29 05:35:45
156,Mahebourg,-20.41,57.7,80.01,56,62,10.0,MU,2020-10-29 05:35:45
157,Faya,18.39,42.45,57.2,28,0,9.17,SA,2020-10-29 05:35:45
158,Lorengau,-2.02,147.27,83.98,75,43,4.23,PG,2020-10-29 05:35:45
159,Hamilton,39.18,-84.53,52.0,93,90,9.17,US,2020-10-29 05:35:45
160,Badiraguato,25.37,-107.52,69.8,46,5,3.31,MX,2020-10-29 05:35:45
161,Bowen,-20.02,148.23,87.8,48,0,12.75,AU,2020-10-29 05:35:46
162,Paracatu,-17.22,-46.87,70.57,84,98,1.48,BR,2020-10-29 05:35:46
163,Kalianget,-7.05,113.93,87.55,62,91,11.83,ID,2020-10-29 05:35:46
164,Poya,-21.35,165.15,79.38,58,38,4.63,NC,2020-10-29 05:35:46
165,Mount Gambier,-37.83,140.77,55.4,93,90,12.75,AU,2020-10-29 05:35:46
166,Bambous Virieux,-20.34,57.76,80.01,56,59,10.0,MU,2020-10-29 05:35:46
167,Baley,51.6,116.63,39.79,66,50,2.26,RU,2020-10-29 05:35:46
168,Victoria,22.29,114.16,78.01,65,96,5.99,HK,2020-10-29 05:35:46
169,Dire,12.28,-10.97,67.98,45,2,2.44,ML,2020-10-29 05:35:46
170,Sangar,63.92,127.47,-0.29,92,91,7.25,RU,2020-10-29 05:35:46
171,Cherskiy,68.75,161.3,4.71,93,76,3.49,RU,2020-10-29 05:35:46
172,Peniche,39.36,-9.38,57.99,90,0,7.16,PT,2020-10-29 05:35:46
173,Vaini,-21.2,-175.2,73.4,73,20,11.41,TO,2020-10-29 05:35:47
174,Akdepe,42.06,59.38,41.0,56,0,11.41,TM,2020-10-29 05:35:47
175,Caravelas,-17.71,-39.25,77.2,86,100,12.75,BR,2020-10-29 05:35:47
176,Chokurdakh,70.63,147.92,-1.57,92,66,7.05,RU,2020-10-29 05:35:47
177,Bende,5.56,7.64,73.98,96,99,3.44,NG,2020-10-29 05:35:47
178,Kavaratti,10.57,72.64,82.63,71,56,6.82,IN,2020-10-29 05:35:47
179,Mehamn,71.04,27.85,30.2,86,75,12.75,NO,2020-10-29 05:35:47
180,Port-Gentil,-0.72,8.78,77.0,100,90,8.05,GA,2020-10-29 05:34:15
181,Zaragoza,41.66,-0.88,54.0,87,40,3.36,ES,2020-10-29 05:35:47
182,Orissaare,58.56,23.08,52.0,93,90,9.17,EE,2020-10-29 05:35:47
183,Inuvik,68.35,-133.72,21.2,67,63,13.87,CA,2020-10-29 05:33:37
184,Marawi,8.0,124.29,84.0,74,52,5.99,PH,2020-10-29 05:35:47
185,Raton,36.9,-104.44,39.2,60,75,18.34,US,2020-10-29 05:33:17
186,Krasnooktyabrskiy,44.93,38.37,50.0,93,0,2.24,RU,2020-10-29 05:35:47
187,Severo-Kurilsk,50.68,156.12,43.48,81,93,4.03,RU,2020-10-29 05:35:47
188,Keflavik,64.0,-22.56,46.4,74,90,24.16,IS,2020-10-29 05:35:47
189,Khash,28.22,61.22,68.34,17,0,7.36,IR,2020-10-29 05:35:47
190,Mineiros,-17.57,-52.55,68.49,89,95,7.38,BR,2020-10-29 05:35:48
191,Sembakung,3.82,117.25,80.8,85,100,3.6,ID,2020-10-29 05:35:48
192,Arcos,-20.28,-45.54,70.81,68,50,0.83,BR,2020-10-29 05:35:48
193,Codrington,-38.27,141.97,58.05,82,98,7.96,AU,2020-10-29 05:35:48
194,Kapit,2.02,112.93,85.91,69,89,2.93,MY,2020-10-29 05:35:48
195,Talnakh,69.49,88.4,8.37,82,31,3.89,RU,2020-10-29 05:35:48
196,Pozoblanco,38.38,-4.85,50.0,93,0,1.12,ES,2020-10-29 05:35:48
197,Kurchum,48.57,83.65,34.88,87,100,5.93,KZ,2020-10-29 05:35:48
198,Lagoa,39.05,-27.98,67.96,88,55,26.06,PT,2020-10-29 05:35:49
199,Los Llanos De Aridane,28.66,-17.92,68.0,82,90,8.05,ES,2020-10-29 05:35:49
200,Ostersund,63.18,14.64,42.8,75,0,10.29,SE,2020-10-29 05:35:49
201,Mitzic,0.78,11.55,69.35,99,93,0.98,GA,2020-10-29 05:35:49
202,Moron,-34.65,-58.62,55.0,99,0,1.01,AR,2020-10-29 05:35:49
203,Vieques,18.43,-65.83,80.6,88,40,6.93,PR,2020-10-29 05:35:49
204,Port Elizabeth,-33.92,25.57,64.4,88,20,8.05,ZA,2020-10-29 05:35:49
205,Monaragala,6.87,81.35,91.81,50,45,0.85,LK,2020-10-29 05:35:49
206,Boysun,38.21,67.2,50.07,38,0,5.26,UZ,2020-10-29 05:35:49
207,Gallup,35.53,-108.74,34.0,84,1,4.0,US,2020-10-29 05:30:51
208,Mogadishu,2.04,45.34,81.28,75,5,8.93,SO,2020-10-29 05:35:50
209,Tigre,-34.43,-58.58,52.0,93,1,4.7,AR,2020-10-29 05:35:50
210,Fortuna,40.6,-124.16,48.2,87,1,3.36,US,2020-10-29 05:34:27
211,Haines Junction,60.75,-137.51,26.6,92,96,1.12,CA,2020-10-29 05:35:50
212,Hobyo,5.35,48.53,81.12,71,62,4.5,SO,2020-10-29 05:35:50
213,Kodinsk,58.69,99.18,35.49,82,77,9.48,RU,2020-10-29 05:35:50
214,Teguise,29.06,-13.56,68.0,77,0,11.41,ES,2020-10-29 05:35:50
215,Hasaki,35.73,140.83,75.99,43,20,3.36,JP,2020-10-29 05:35:50
216,Carnarvon,-24.87,113.63,78.8,61,25,11.41,AU,2020-10-29 05:35:50
217,Zhigansk,66.77,123.37,-7.13,90,13,3.31,RU,2020-10-29 05:35:50
218,Zhicheng,30.3,111.5,70.0,47,22,1.99,CN,2020-10-29 05:35:50
219,Hualmay,-11.1,-77.61,61.61,86,39,8.37,PE,2020-10-29 05:35:50
220,Puerto Madero,14.72,-92.42,79.41,83,100,6.62,MX,2020-10-29 05:35:51
221,Nedjo,9.5,35.5,68.07,71,0,4.18,ET,2020-10-29 05:35:51
222,Biloela,-24.42,150.5,84.15,16,0,11.79,AU,2020-10-29 05:35:51
223,Nioaque,-21.14,-55.83,73.0,94,72,4.45,BR,2020-10-29 05:35:51
224,Makakilo City,21.35,-158.09,77.0,78,90,5.82,US,2020-10-29 05:35:51
225,Leningradskiy,69.38,178.42,16.39,89,55,15.5,RU,2020-10-29 05:35:51
226,Tasiilaq,65.61,-37.64,33.8,43,100,18.34,GL,2020-10-29 05:35:51
227,Kahului,20.89,-156.47,82.4,69,40,13.87,US,2020-10-29 05:32:32
228,Zhangye,38.93,100.45,65.84,20,0,4.7,CN,2020-10-29 05:35:52
229,Qaanaaq,77.48,-69.36,7.74,74,45,8.68,GL,2020-10-29 05:35:52
230,Monywa,22.12,95.13,88.27,62,100,9.69,MM,2020-10-29 05:35:52
231,Bambanglipuro,-7.95,110.28,85.32,69,55,13.02,ID,2020-10-29 05:35:52
232,Upernavik,72.79,-56.15,15.04,85,92,11.01,GL,2020-10-29 05:35:52
233,Keelung,25.13,121.74,77.0,83,75,12.75,TW,2020-10-29 05:35:52
234,Sioux Lookout,50.1,-91.92,19.4,67,90,6.93,CA,2020-10-29 05:35:52
235,Yulara,-25.24,130.99,100.4,8,0,17.22,AU,2020-10-29 05:35:52
236,North Bend,43.41,-124.22,51.01,100,1,4.7,US,2020-10-29 05:35:52
237,Arlit,18.74,7.39,74.62,18,0,6.08,NE,2020-10-29 05:35:52
238,Isangel,-19.55,169.27,82.4,61,75,6.93,VU,2020-10-29 05:35:53
239,Toyooka,35.53,134.83,59.0,62,75,8.05,JP,2020-10-29 05:31:33
240,Dali,25.7,100.18,69.13,65,69,2.57,CN,2020-10-29 05:35:53
241,Esperance,-33.87,121.9,68.0,52,10,19.46,AU,2020-10-29 05:35:53
242,Georgiyevka,43.04,74.71,37.4,69,0,6.71,KZ,2020-10-29 05:35:53
243,Tambacounda,13.75,-13.76,69.8,83,0,4.54,SN,2020-10-29 05:35:53
244,Lasa,46.62,10.7,42.01,86,75,3.36,IT,2020-10-29 05:35:53
245,Morristown,36.21,-83.29,66.2,100,90,3.36,US,2020-10-29 05:32:51
246,Baoshan,46.56,131.42,39.69,68,63,15.39,CN,2020-10-29 05:35:53
247,Biak,-0.91,122.88,85.24,61,46,3.33,ID,2020-10-29 05:35:53
248,Noumea,-22.28,166.46,89.6,35,0,9.17,NC,2020-10-29 05:35:53
249,Shebunino,46.43,141.86,47.8,82,100,5.79,RU,2020-10-29 05:35:53
250,Puerto Ayacucho,5.66,-67.62,75.24,91,77,2.48,VE,2020-10-29 05:35:53
251,Dauphin,51.15,-100.05,23.0,85,90,2.24,CA,2020-10-29 05:32:54
252,Luwuk,-0.95,122.79,87.31,55,53,3.31,ID,2020-10-29 05:35:53
253,Hinche,19.15,-72.02,77.0,94,1,4.7,HT,2020-10-29 05:35:54
254,Garowe,8.41,48.48,79.03,58,22,5.91,SO,2020-10-29 05:35:54
255,Mach,29.86,67.33,75.67,15,0,2.89,PK,2020-10-29 05:35:54
256,Dubbo,-32.25,148.62,77.0,33,40,8.05,AU,2020-10-29 05:35:04
257,Faanui,-16.48,-151.75,79.68,80,18,11.92,PF,2020-10-29 05:35:54
258,Narsaq,60.92,-46.05,30.2,80,100,2.15,GL,2020-10-29 05:35:54
259,Eyemouth,55.87,-2.09,44.01,90,31,1.99,GB,2020-10-29 05:35:54
260,Thinadhoo,0.53,72.93,83.66,74,16,12.03,MV,2020-10-29 05:35:54
261,Namatanai,-3.67,152.43,84.33,69,93,2.01,PG,2020-10-29 05:35:54
262,Grindavik,63.84,-22.43,44.6,81,90,24.16,IS,2020-10-29 05:35:54
263,Turan,16.07,108.22,84.2,79,40,13.87,VN,2020-10-29 05:34:29
264,Vestmannaeyjar,63.44,-20.27,46.8,86,87,43.2,IS,2020-10-29 05:35:54
265,Rosetta,31.4,30.42,60.8,93,0,6.38,EG,2020-10-29 05:35:54
266,Poum,-20.23,164.02,77.43,76,18,16.33,NC,2020-10-29 05:35:54
267,Marshall,34.38,-86.33,73.99,94,90,8.05,US,2020-10-29 05:35:55
268,Cap-Aux-Meules,47.38,-61.86,37.4,69,88,10.29,CA,2020-10-29 05:35:55
269,Porto Santo,33.07,-16.34,66.2,72,40,8.05,PT,2020-10-29 05:35:55
270,Lavrentiya,65.58,-171.0,26.01,87,100,6.55,RU,2020-10-29 05:35:55
271,Kawalu,-7.38,108.21,83.01,74,92,4.65,ID,2020-10-29 05:35:55
272,Mujiayingzi,42.12,118.78,54.46,33,87,1.03,CN,2020-10-29 05:35:55
273,Hami,42.8,93.45,58.87,29,98,6.87,CN,2020-10-29 05:35:55
274,Karratha,-20.74,116.85,84.36,51,1,16.06,AU,2020-10-29 05:35:47
275,Mersing,2.43,103.84,85.84,74,93,6.6,MY,2020-10-29 05:35:55
276,Itoman,26.12,127.67,82.0,61,40,6.93,JP,2020-10-29 05:35:55
277,Chabahar,25.29,60.64,84.2,42,0,9.17,IR,2020-10-29 05:35:55
278,Yerbogachen,61.28,108.01,17.56,92,100,12.57,RU,2020-10-29 05:35:55
279,Karakol,42.49,78.39,32.86,92,99,5.3,KG,2020-10-29 05:35:55
280,West Des Moines,41.57,-93.75,42.01,81,100,1.99,US,2020-10-29 05:31:11
281,Saldanha,-33.01,17.94,59.0,87,56,3.36,ZA,2020-10-29 05:35:56
282,Bikin,46.82,134.26,38.48,77,80,11.88,RU,2020-10-29 05:35:56
283,Flinders,-34.58,150.86,69.01,72,74,3.0,AU,2020-10-29 05:35:56
284,Tilichiki,60.47,166.1,24.8,90,0,5.59,RU,2020-10-29 05:35:56
285,Chernihiv,51.0,32.0,43.86,90,0,7.38,UA,2020-10-29 05:35:56
286,Rayevskiy,54.07,54.95,36.12,79,99,9.31,RU,2020-10-29 05:35:56
287,Acapulco,16.86,-99.89,79.18,83,92,4.63,MX,2020-10-29 05:35:56
288,Aldan,58.6,125.39,11.61,93,66,2.35,RU,2020-10-29 05:35:56
289,Pafos,34.77,32.42,66.2,52,0,9.17,CY,2020-10-29 05:35:56
290,Alice Springs,-23.7,133.88,98.6,5,0,13.87,AU,2020-10-29 05:35:56
291,Dingle,11.0,122.67,85.32,77,32,8.99,PH,2020-10-29 05:35:56
292,Kangalassy,62.35,129.96,12.2,61,0,4.47,RU,2020-10-29 05:35:56
293,Rotterdam,51.92,4.48,52.0,76,2,11.41,NL,2020-10-29 05:35:56
294,Andenes,69.31,16.12,39.2,93,75,16.11,NO,2020-10-29 05:35:57
295,Rongcheng,30.63,117.85,71.01,76,53,4.68,CN,2020-10-29 05:35:57
296,Waingapu,-9.66,120.26,88.14,61,36,13.91,ID,2020-10-29 05:35:57
297,Manokwari,-0.87,134.08,84.74,68,76,2.08,ID,2020-10-29 05:35:57
298,Toamasina,-18.17,49.38,73.4,94,75,8.05,MG,2020-10-29 05:35:57
299,Machilipatnam,16.17,81.13,84.7,57,37,6.04,IN,2020-10-29 05:35:57
300,Kashi,39.45,75.98,55.4,10,75,20.13,CN,2020-10-29 05:35:57
301,Pueblo Nuevo,23.38,-105.38,51.49,86,0,5.37,MX,2020-10-29 05:35:57
302,Geraldton,-28.77,114.6,91.4,26,0,18.34,AU,2020-10-29 05:35:57
303,Broome,42.25,-75.83,42.8,93,1,3.36,US,2020-10-29 05:35:57
304,Kalabo,-14.97,22.68,77.02,55,46,4.7,ZM,2020-10-29 05:35:57
305,Strzelce Krajenskie,52.88,15.53,46.0,90,96,11.23,PL,2020-10-29 05:35:57
306,Antofagasta,-23.65,-70.4,57.2,82,90,5.82,CL,2020-10-29 05:35:58
307,Rafaela,-31.25,-61.49,44.01,97,0,1.01,AR,2020-10-29 05:35:58
308,Warrington,53.39,-2.58,50.0,76,68,8.05,GB,2020-10-29 05:35:32
